date,MAS_DLI_3m_change_pct
2012-01-01,0.14
2012-02-01,0.602
2012-03-01,0.699
2012-04-01,0.641
2012-05-01,0.331
2012-06-01,0.115
2012-07-01,0.282
2012-08-01,0.464
2012-09-01,0.711
2012-10-01,0.385
2012-11-01,0.307
2012-12-01,0.21
2013-01-01,0.003
2013-02-01,-0.091
2013-03-01,-0.201
2013-04-01,0.087
2013-05-01,-0.057
2013-06-01,-0.036
2013-07-01,-0.08
2013-08-01,0.099
2013-09-01,0.439
2013-10-01,0.468
2013-11-01,0.582
2013-12-01,0.234
2014-01-01,-0.057
2014-02-01,-0.141
2014-03-01,-0.26
2014-04-01,0.151
2014-05-01,0.144
2014-06-01,0.384
2014-07-01,0.205
2014-08-01,0.1
2014-09-01,0.04
2014-10-01,0.002
2014-11-01,-0.028
2014-12-01,0.024
2015-01-01,-0.078
2015-02-01,-0.182
2015-03-01,-0.314
2015-04-01,0.28
2015-05-01,0.714
2015-06-01,0.848
2015-07-01,0.228
2015-08-01,-0.282
2015-09-01,-0.266
2015-10-01,-0.131
2015-11-01,0.253
2015-12-01,0.313
2016-01-01,-0.064
2016-02-01,-0.069
2016-03-01,0.14
2016-04-01,0.513
2016-05-01,0.303
2016-06-01,0.334
2016-07-01,0.346
2016-08-01,0.299
2016-09-01,-0.233
2016-10-01,-0.576
2016-11-01,-0.494
2016-12-01,-0.324
2017-01-01,0.038
2017-02-01,0.235
2017-03-01,0.452
2017-04-01,0.412
2017-05-01,0.166
2017-06-01,-0.026
2017-07-01,0.163
2017-08-01,0.25
2017-09-01,0.284
2017-10-01,0.055
2017-11-01,0.166
2017-12-01,0.113
2018-01-01,0.085
2018-02-01,-0.204
2018-03-01,-0.058
2018-04-01,-0.017
2018-05-01,0.191
2018-06-01,0.063
2018-07-01,0.18
2018-08-01,0.362
2018-09-01,0.371
2018-10-01,0.324
2018-11-01,0.182
2018-12-01,0.257
2019-01-01,0.316
2019-02-01,0.287
2019-03-01,0.184
2019-04-01,0.111
2019-05-01,0.081
2019-06-01,0.205
2019-07-01,0.071
2019-08-01,-0.129
2019-09-01,-0.169
2019-10-01,0.021
2019-11-01,0.236
2019-12-01,0.092
2020-01-01,-0.062
2020-02-01,-0.635
2020-03-01,-0.738
2020-04-01,-0.785
2020-05-01,-0.473
2020-06-01,-0.418
2020-07-01,-0.415
2020-08-01,-0.114
2020-09-01,-0.05
2020-10-01,0.124
2020-11-01,0.006
2020-12-01,-0.004
2021-01-01,-0.105
2021-02-01,-0.06
2021-03-01,-0.041
2021-04-01,0.221
2021-05-01,0.136
2021-06-01,0.161
2021-07-01,-0.235
2021-08-01,-0.055
2021-09-01,0.02
2021-10-01,0.145
2021-11-01,0.023
2021-12-01,-0.016
2022-01-01,0.241
2022-02-01,0.394
2022-03-01,0.21
2022-04-01,0.199
2022-05-01,0.531
2022-06-01,0.855
2022-07-01,1.04
2022-08-01,1.079
2022-09-01,1.15
2022-10-01,1.35
2022-11-01,1.457
2022-12-01,1.407
2023-01-01,0.862
2023-02-01,0.434
2023-03-01,0.37
2023-04-01,0.423
2023-05-01,0.333
2023-06-01,0.331
2023-07-01,0.36
2023-08-01,0.264
2023-09-01,0.157
2023-10-01,0.148
2023-11-01,0.315
2023-12-01,0.336
2024-01-01,0.197
2024-02-01,0.1
2024-03-01,0.081
2024-04-01,0.035
2024-05-01,0.034
2024-06-01,0.035
2024-07-01,0.098
2024-08-01,0.028
2024-09-01,-0.079
2024-10-01,-0.16
2024-11-01,-0.266
2024-12-01,-0.347
2025-01-01,-0.439
2025-02-01,-0.203
2025-03-01,-0.112
2025-04-01,0.018
2025-05-01,0.127
2025-06-01,0.162
2025-07-01,0.094
2025-08-01,-0.257
2025-09-01,-0.435
2025-10-01,
2025-11-01,
2025-12-01,
2026-01-01,
